query,intent,perturbation_type
Kapan jadwal perkuliahan untuk mahasiswa Hubungan Masyarakat dimulai?,academic_calendar,clean
Apa ketentuan kelulusan untuk mahasiswa Fakultas Ekonomi dan Bisnis?,academic_regulations,clean
Apa saja syarat pendaftaran mahasiswa baru di UMB?,admissions,clean
Alamat lengkap kampus Mercu Buana Bekasi di mana?,campus,clean
Siapa dekan Fakultas Psikologi Universitas Mercu Buana?,faculty,clean
Bagaimana prosedur layanan E-Learning UMB di UMB?,general,clean
Siapa dekan Fakultas Desain dan Seni Kreatif?,lecturer,clean
repository umb,library,clean
Bagaimana cara mendaftar beasiswa KIP Kuliah di UMB?,scholarship,clean
Bagaimana mahasiswa Fakultas Teknik mengakses SIA UMB?,sia,clean
Bagaimana mahasiswa Teknik Elektro mengaktifkan akun SSO UMB?,sso,clean
Apa layanan konseling mahasiswa yang tersedia di UMB?,student_services,clean
Siapa ketua program studi Hubungan Masyarakat Universitas Mercu Buana?,study_program,clean
Berapa biaya kuliah program studi Penyiaran di UMB?,tuition,clean
Kapan jadwal perkuliahan untuk mahasiswa Akuntansi dimulai?,academic_calendar,clean
Apa peraturan akademik yang berlaku untuk program studi Teknik Mesin?,academic_regulations,clean
Berapa daya tampung program studi Psikologi di UMB?,admissions,clean
Di kampus mana program studi Desain Komunikasi Visual diselenggarakan?,campus,clean
Fakultas Ilmu Komunikasi?,faculty,clean
kapan pengisian krs umb,general,clean
Siapa dosen pengampu di program studi Penyiaran UMB?,lecturer,clean
digilib umb,library,clean
Beasiswa apa yang bisa diambil mahasiswa baru Teknik Mesin di UMB?,scholarship,clean
Bagaimana mahasiswa Teknik Sipil mengisi KRS di SIA?,sia,clean
Bagaimana mahasiswa Fakultas Ilmu Komputer login SSO untuk mengakses layanan UMB?,sso,clean
Bagaimana cara menghubungi Biro Administrasi Akademik (BAA) UMB?,student_services,clean
Jurusan Hubungan Masyarakat di Mercu Buana akreditasinya apa?,study_program,clean
berapa uang kuliah mercu buana,tuition,clean
Di mana kalender akademik untuk Fakultas Ilmu Komunikasi?,academic_calendar,clean
Apa ketentuan kelulusan untuk mahasiswa Fakultas Teknik?,academic_regulations,clean
Apa syarat masuk Fakultas Ekonomi dan Bisnis di Mercu Buana?,admissions,clean
Di kampus mana program studi Teknik Industri diselenggarakan?,campus,clean
Siapa dekan Fakultas Ilmu Komunikasi Universitas Mercu Buana?,faculty,clean
reset password sso mercu buana,general,clean
Siapa saja dosen di Fakultas Teknik UMB?,lecturer,clean
Bagaimana prosedur layanan Perpustakaan Digital UMB di UMB?,library,clean
Beasiswa apa yang bisa diambil mahasiswa baru Teknik Elektro di UMB?,scholarship,clean
Bagaimana mahasiswa Teknik Industri mengisi KRS di SIA?,sia,clean
Bagaimana jika lupa password SSO Universitas Mercu Buana?,sso,clean
Layanan akademik apa yang tersedia untuk mahasiswa Teknik Informatika?,student_services,clean
