query,intent,perturbation_type,base_id
Kapan jadwaal perrkuliahan untuk mahasiswa Hubungan Masyarakat dimulai?,academic_calendar,typo,bench_00324
Kapan jadwal perkuliahan untuk,academic_calendar,incomplete,bench_00324
when schedule perkuliahan untuk mahasiswa Hubungan Masyarakat dimulai?,academic_calendar,mixed_lang,bench_00324
Kapan jadwal perkuliahan untuk mahasiswa dimulai?,academic_calendar,ambiguous,bench_00324
Apa ketentuan kelulusan untuk mahasiswa Fakultas Ekonmoi dan Biisnis?,academic_regulations,typo,bench_00364
Apa ketentuan kelulusan untuk mahasiswa Fakultas Ekonomi,academic_regulations,incomplete,bench_00364
what ketentuan kelulusan untuk student faculty Ekonomi dan Bisnis?,academic_regulations,mixed_lang,bench_00364
Apa ketentuan kelulusan untuk mahasiswa dan?,academic_regulations,ambiguous,bench_00364
Apa saja syarat pendfataran mahasiswa bau di UMB?,admissions,typo,faq_002
Apa saja syarat pendaftaran mahasiswa baru,admissions,incomplete,faq_002
what saja requirements pendaftaran student baru di UMB?,admissions,mixed_lang,faq_002
Apa saja syarat pendaftaran mahasiswa baru di?,admissions,ambiguous,faq_002
Alamat lengkap kampus Mercu Bana Bekasi di maan?,campus,typo,bench_00409
Alamat lengkap kampus Mercu Buana Bekasi,campus,incomplete,bench_00409
Alamat lengkap kampus di mana?,campus,ambiguous,bench_00409
Siapa dekan Faultas sPikologi Universitas Mercu Buana?,faculty,typo,bench_00143
Siapa dekan Fakultas Psikologi Universitas,faculty,incomplete,bench_00143
who dekan faculty Psikologi Universitas Mercu Buana?,faculty,mixed_lang,bench_00143
Siapa dekan?,faculty,ambiguous,bench_00143
Bagaimanna proseddur layanan E-Learning UMB di UMB?,general,typo,ent_0073
Bagaimana prosedur layanan E-Learning UMB,general,incomplete,ent_0073
how prosedur layanan E-Learning UMB di UMB?,general,mixed_lang,ent_0073
Bagaimana prosedur layanan di?,general,ambiguous,ent_0073
Siapa dekan Faakultas Desain dan Seni Kreatf?,lecturer,typo,ent_0009
Siapa dekan,lecturer,incomplete,ent_0009
who dekan Fakultas Desain dan Seni Kreatif?,lecturer,mixed_lang,ent_0009
Siapa dekan dan?,lecturer,ambiguous,ent_0009
reposittory umb,library,typo,faq_013_alias_03
Bagaimana cara meendaftar besiswa KIP Kuliah di UMB?,scholarship,typo,faq_006
Bagaimana cara mendaftar beasiswa KIP Kuliah,scholarship,incomplete,faq_006
how cara mendaftar beasiswa KIP Kuliah di UMB?,scholarship,mixed_lang,faq_006
Bagaimana cara mendaftar beasiswa di?,scholarship,ambiguous,faq_006
Bagaimana mahasisaw Fakultas Teknnik mengakses SIA UMB?,sia,typo,bench_00461
Bagaimana mahasiswa Fakultas,sia,incomplete,bench_00461
